setting,target,control,predictor_set,cv_spearman_mean,cv_spearman_sd,oof_spearman,n_pred,n_defined_folds,controls
gemma_2_2b,collateral_raw_nodense,primary,direct_logit_only,0.11283134203945544,0.10349956403784982,0.09884998722208024,4,5,"effect_l2,act_mag,frequency"
gemma_2_2b,collateral_raw_nodense,primary,coactivation_only,0.1690247290914143,0.09433814869665182,0.17377215302392246,2,5,"effect_l2,act_mag,frequency"
gemma_2_2b,collateral_raw_nodense,primary,full_no_magnitude,0.557499305362601,0.11932368403892843,0.5690974344159379,15,5,"effect_l2,act_mag,frequency"
gemma_2_2b,collateral_raw_nodense,primary,full_all,0.551053070297305,0.11767920567135168,0.5662338470427449,19,5,"effect_l2,act_mag,frequency"
gemma_2_2b,collateral_raw_nodense,robust,frequency_only,,,,1,0,"frequency,act_mag"
gemma_2_2b,collateral_raw_nodense,robust,actmag_only,,,,1,0,"frequency,act_mag"
gemma_2_2b,collateral_raw_nodense,robust,geometry_only,0.4651514309530427,0.13620445635822895,0.48029244769386326,5,5,"frequency,act_mag"
gemma_2_2b,collateral_raw_nodense,robust,direct_logit_only,0.28440122256182276,0.08464331825419516,0.26945232724808055,4,5,"frequency,act_mag"
gemma_2_2b,collateral_raw_nodense,robust,coactivation_only,0.041811614337315936,0.08455487253385797,0.04036844853831709,2,5,"frequency,act_mag"
gemma_2_2b,collateral_raw_nodense,robust,full_no_magnitude,0.6691303139761047,0.08321279826210899,0.661607351192791,15,5,"frequency,act_mag"
gemma_2_2b,collateral_raw_nodense,robust,full_all,0.6771103084190054,0.07136705024209399,0.6754728385870954,19,5,"frequency,act_mag"
gemma_2_2b,collateral_raw_nodense,effect_only,frequency_only,0.4584572879891705,0.08645736740284234,0.41434380587582165,1,5,effect_l2
gemma_2_2b,collateral_raw_nodense,effect_only,actmag_only,0.49121422617393734,0.052044322348771724,0.4501387793197702,1,5,effect_l2
gemma_2_2b,collateral_raw_nodense,effect_only,geometry_only,0.3389941650458461,0.1839196993018951,0.3526936965966288,5,5,effect_l2
gemma_2_2b,collateral_raw_nodense,effect_only,direct_logit_only,0.09688246735204226,0.08780124295643559,0.08970277447527195,4,5,effect_l2
gemma_2_2b,collateral_raw_nodense,effect_only,coactivation_only,0.3509196999166436,0.11856983660780647,0.3285236502627807,2,5,effect_l2
gemma_2_2b,collateral_raw_nodense,effect_only,full_no_magnitude,0.5908863573214782,0.08653361697498077,0.58909454549495,15,5,effect_l2
gemma_2_2b,collateral_raw_nodense,effect_only,full_all,0.5913642678521812,0.06767592828260588,0.5855940621562462,19,5,effect_l2
gemma_2_2b,collateral_ctilde_nodense,none,frequency_only,0.4884870310720757,0.05789568490903975,0.4460464980364218,1,5,
gemma_2_2b,collateral_ctilde_nodense,none,actmag_only,0.4676521255904419,0.034542824887209396,0.42204868942988255,1,5,
gemma_2_2b,collateral_ctilde_nodense,none,geometry_only,0.29548207835509865,0.15087707255408309,0.29064900721119125,5,5,
gemma_2_2b,collateral_ctilde_nodense,none,direct_logit_only,0.14531814392886916,0.08405827759198409,0.12016133512594583,4,5,
gemma_2_2b,collateral_ctilde_nodense,none,coactivation_only,0.3760600166712976,0.07084801882696766,0.37243213813486814,2,5,
gemma_2_2b,collateral_ctilde_nodense,none,full_no_magnitude,0.5725368157821619,0.02748295192071403,0.5704752275025278,15,5,
gemma_2_2b,collateral_ctilde_nodense,none,full_all,0.5577993887190887,0.032915043322786136,0.5561532905921176,19,5,
gemma_2_2b,collateral_ctilde_nodense,primary,frequency_only,,,,1,0,"effect_l2,act_mag,frequency"
gemma_2_2b,collateral_ctilde_nodense,primary,actmag_only,,,,1,0,"effect_l2,act_mag,frequency"
gemma_2_2b,collateral_ctilde_nodense,primary,geometry_only,0.3855959988885803,0.16366526954997174,0.3995755508394538,5,5,"effect_l2,act_mag,frequency"
gemma_2_2b,collateral_ctilde_nodense,primary,direct_logit_only,0.09440400111141986,0.10290089686211037,0.062393137701530016,4,5,"effect_l2,act_mag,frequency"
gemma_2_2b,collateral_ctilde_nodense,primary,coactivation_only,0.19563212003334263,0.13604635338343135,0.18305536728185867,2,5,"effect_l2,act_mag,frequency"
gemma_2_2b,collateral_ctilde_nodense,primary,full_no_magnitude,0.5807835509863852,0.08129628083840745,0.5784917610195668,15,5,"effect_l2,act_mag,frequency"
gemma_2_2b,collateral_ctilde_nodense,primary,full_all,0.5738705195887748,0.08110091869348345,0.5754597273303037,19,5,"effect_l2,act_mag,frequency"
gemma_2_2b,collateral_ctilde_nodense,robust,frequency_only,,,,1,0,"frequency,act_mag"
gemma_2_2b,collateral_ctilde_nodense,robust,actmag_only,,,,1,0,"frequency,act_mag"
gemma_2_2b,collateral_ctilde_nodense,robust,geometry_only,0.3640455682133926,0.14853965024743812,0.3674707496749964,5,5,"frequency,act_mag"
gemma_2_2b,collateral_ctilde_nodense,robust,direct_logit_only,0.1400944706863018,0.10333715457672761,0.12156090623229146,4,5,"frequency,act_mag"
gemma_2_2b,collateral_ctilde_nodense,robust,coactivation_only,0.20218949708252296,0.12920078324005219,0.20398359981777575,2,5,"frequency,act_mag"
gemma_2_2b,collateral_ctilde_nodense,robust,full_no_magnitude,0.513976104473465,0.05921253346554779,0.5195746619406882,15,5,"frequency,act_mag"
gemma_2_2b,collateral_ctilde_nodense,robust,full_all,0.4966824117810503,0.05955334934735881,0.5115381282014244,19,5,"frequency,act_mag"
gemma_2_2b,collateral_ctilde_nodense,effect_only,frequency_only,0.5025905640261898,0.07692962421849493,0.4794521878909135,1,5,effect_l2
gemma_2_2b,collateral_ctilde_nodense,effect_only,actmag_only,0.5189663795498751,0.053481164642993836,0.5083523150257224,1,5,effect_l2
gemma_2_2b,collateral_ctilde_nodense,effect_only,geometry_only,0.3482745207001946,0.1618054929769542,0.34937721530239224,5,5,effect_l2
gemma_2_2b,collateral_ctilde_nodense,effect_only,direct_logit_only,0.08184495693248126,0.08168886217298346,0.05871976355292836,4,5,effect_l2
gemma_2_2b,collateral_ctilde_nodense,effect_only,coactivation_only,0.3827841066963046,0.09324992207399727,0.3773006366737408,2,5,effect_l2
gemma_2_2b,collateral_ctilde_nodense,effect_only,full_no_magnitude,0.6205946096137818,0.02784816716526948,0.6212557917310191,15,5,effect_l2
gemma_2_2b,collateral_ctilde_nodense,effect_only,full_all,0.6243845512642401,0.02879635826137654,0.6230660340670452,19,5,effect_l2
gemma_2_2b,resid_delta_norm,none,frequency_only,0.07416909651777479,0.1007309034809476,0.016444606206078915,1,5,
