feature,crowding,crowd_max,dec_norm,enc_norm,enc_dec_cos,frequency,act_mag,act_mean_firing,act_std,act_max,act_kurtosis,bin_entropy,act_entropy,coact_entropy,coact_count,logit_l2,logit_linf,logit_entropy,logit_top10_mass,collateral_raw,effect_l2,collateral_ctilde,collateral_raw_nodense,collateral_ctilde_nodense,resid_delta_norm,resid_reconstruction_norm_ratio,resid_error_delta_norm,resid_change_explained_energy,stab_signed,stab_abs,stab_anti_frac,effect_pc1_ratio,kl_mean,kl_per_effect,effect_cv,ctx_mean_act,intervention_value,n_ctx,matched_feature
33,0.0697953850030899,0.08130903542041779,0.9999999403953552,,,,,,,,,,,,,57.75380325317383,0.7423413395881653,12.164294242858887,0.00026246675406582654,3.3541667461395264,5.997851371765137,0.5592280522883534,2.0833334922790527,0.34734663459866166,0.7205230593681335,2.6877517700195312,2.208517551422119,-18.06471061706543,0.372751921415329,0.3985305726528168,0.0625,0.7287373542785645,6.1407436078297906e-06,1.0238239024226374e-06,0.9543499946594238,,1.0,48,1506
34,0.07723113149404526,0.09151893109083176,1.0,,,,,,,,,,,,,64.12062072753906,0.7929353713989258,12.162246704101562,0.0002734560112003237,3.3958334922790527,4.640559196472168,0.731772474218818,2.3125,0.4983235634133848,0.7246086597442627,2.2980849742889404,1.9991216659545898,-15.093801498413086,0.30968186259269714,0.3107355833053589,0.02083333395421505,0.3404303193092346,5.631587100651814e-06,1.2135578601814763e-06,0.37663882970809937,,1.0,48,1714
35,0.07201492041349411,0.08529932051897049,1.0,,,,,,,,,,,,,71.23878479003906,0.7973461747169495,12.16826343536377,0.00023626259644515812,2.4791667461395264,4.29297399520874,0.5774940037213154,1.6041667461395264,0.37367259717696005,0.7047325968742371,2.515801429748535,2.095609188079834,-17.308862686157227,0.3028390407562256,0.30416440963745117,0.02083333395421505,0.1943732649087906,5.08644097862998e-06,1.184829205221954e-06,0.24879524111747742,,1.0,48,1870
36,0.07127147167921066,0.08382263034582138,0.9999999403953552,,,,,,,,,,,,,57.81351089477539,0.7315341234207153,12.161395072937012,0.00026626154431141913,2.6666667461395264,4.798504829406738,0.5557286770329107,1.3958333730697632,0.2908892289962422,0.6963530778884888,2.023576259613037,1.7925481796264648,-14.05412769317627,0.35699862241744995,0.36615753173828125,0.02083333395421505,0.35935178399086,4.593699031829601e-06,9.573188285869358e-07,0.40796539187431335,,1.0,48,1948
37,0.07046475261449814,0.07855691015720367,1.0000001192092896,,,,,,,,,,,,,64.25592041015625,0.7035247683525085,12.169561386108398,0.00024062595912255347,3.3333334922790527,4.342803955078125,0.7675532948490084,2.2916667461395264,0.5276928833462323,0.7064032554626465,3.1855921745300293,2.4992146492004395,-21.0164852142334,0.35787829756736755,0.368300199508667,0.0833333358168602,0.2806757390499115,1.0430000656924676e-05,2.4016742963292025e-06,0.3214673399925232,,1.0,48,1981
38,0.07272180169820786,0.08044618368148804,0.9999999403953552,,,,,,,,,,,,,66.44346618652344,0.7969632148742676,12.17227554321289,0.0002331339055672288,2.7708334922790527,5.481557369232178,0.505482894838761,1.6666667461395264,0.30404985861390044,0.6969701647758484,1.724635362625122,1.5586751699447632,-10.507585525512695,0.2547175884246826,0.2661970853805542,0.0416666679084301,0.791732132434845,5.823605079058325e-06,1.0623997298873589e-06,1.244001865386963,,1.0,48,2035
39,0.07108598202466965,0.08541113883256912,1.0000001192092896,,,,,,,,,,,,,61.91816329956055,0.705180287361145,12.16236686706543,0.00024063258024398237,3.8333334922790527,5.559142112731934,0.6895548643385347,2.4583334922790527,0.4422145428206739,0.7012619972229004,2.8273983001708984,2.223757266998291,-19.353313446044922,0.3038325011730194,0.3896219730377197,0.25,0.8736454844474792,4.3527616071514785e-06,7.8299160392978e-07,1.6137503385543823,,1.0,48,2046
40,0.0746840164065361,0.08554147928953171,0.9999998807907104,,,,,,,,,,,,,57.404998779296875,0.6459469795227051,12.159653663635254,0.00024595612194389105,3.6041667461395264,4.416849613189697,0.8160039515985877,2.1458334922790527,0.4858289675547988,0.6998419165611267,2.420198917388916,1.9902949333190918,-17.34658432006836,0.31097540259361267,0.3310871124267578,0.0625,0.2789899408817291,3.919133632734884e-06,8.87314254974481e-07,0.2464374154806137,,1.0,48,2130
41,0.07433309406042099,0.09009520709514618,1.0,,,,,,,,,,,,,58.43113708496094,0.7692083716392517,12.162220001220703,0.0002636763092596084,3.6666667461395264,5.047921180725098,0.7263716305390331,2.4375,0.48287203938100126,0.7134901285171509,2.329453945159912,2.021439552307129,-15.196292877197266,0.3684912919998169,0.4265575110912323,0.1458333432674408,0.35454654693603516,6.992333510424942e-06,1.3851907044968234e-06,0.35710182785987854,,1.0,48,2146
42,0.07106617838144302,0.07888351380825043,0.9999998807907104,,,,,,,,,,,,,56.80402755737305,0.5988402366638184,12.162845611572266,0.0002490853366907686,3.4791667461395264,4.324416160583496,0.8045402220550111,1.9791667461395264,0.4576725893318626,0.7201412916183472,2.1799819469451904,1.9141099452972412,-13.398149490356445,0.33715495467185974,0.33715495467185974,0.0,0.17312492430210114,5.705473085981794e-06,1.319362628600094e-06,0.24460431933403015,,1.0,48,2249
43,0.06856711953878403,0.07728082686662674,1.0,,,,,,,,,,,,,87.76519775390625,1.4230893850326538,12.181098937988281,0.0002771221334114671,4.020833492279053,4.385322570800781,0.9168843153939269,2.7291667461395264,0.6223411609645298,0.7040170431137085,2.6898117065429688,2.2349438667297363,-19.764528274536133,0.3558618426322937,0.36578068137168884,0.0625,0.16038693487644196,3.95227607441484e-06,9.012509345876068e-07,0.22110427916049957,,1.0,48,2280
