alpha,feature,positive_probability,degenerate_rate,gain,crowding,crowd_max,dec_norm,enc_norm,enc_dec_cos,frequency,act_mag,act_mean_firing,act_std,act_max,act_kurtosis,bin_entropy,act_entropy,coact_entropy,coact_count,logit_l2,logit_linf,logit_entropy,logit_top10_mass,discovery_selectivity,predicted_collateral,predicted_residual_collateral
2.0,576,0.5001548590856449,0.0,-0.2633844596954683,0.17293103,0.39879593,1.0,0.88994306,0.8915911,0.0107421875,0.053529155,4.9830775,0.5474185,9.5322895,143.90967,0.05938481,0.39730582,7.280396,105.77273,70.17695,1.0976391,12.151201,0.00034445588,0.68765205,4.123493120574175,-0.5102707319115113
2.0,709,0.5842359265079722,0.0,-0.17930339227314107,0.14524578,0.19185568,1.0,0.9277127,0.82513,0.00390625,0.016321495,4.178303,0.26953512,6.8584614,343.87076,0.02555946,0.26871264,6.217181,81.75,57.942085,0.66211194,12.157698,0.00027118775,0.46196508,3.718437334790884,-0.1277381269097927
2.0,1288,0.7488973339738246,0.0,-0.014641984807288622,0.14056888,0.1925661,1.0,0.89772195,0.8564107,0.009277344,0.04397461,4.74,0.47247127,8.292273,142.5427,0.052653816,0.3812689,6.924954,86.31579,59.707436,0.6750901,12.171335,0.00024173627,0.61303616,3.9279955965294384,-0.0320377436072759
2.0,1360,0.8325126165873371,0.0,0.06897329780622385,0.143153,0.21743768,0.99999994,0.8254647,0.88667357,0.0068359375,0.026576791,3.8878047,0.32328343,5.214568,153.00594,0.04089351,0.34500068,6.7974358,87.21429,60.877792,0.97442603,12.160704,0.00034273294,0.7191546,2.973875730424135,-0.7943206196666326
2.0,1512,0.7390787493204698,0.0,-0.024460569460643455,0.1990914,0.34543267,1.0,0.87967443,0.8453813,0.0068359375,0.027565992,4.0325108,0.3367876,5.318591,157.33278,0.04089351,0.34439695,7.0820613,116.85714,57.628708,0.72732794,12.157799,0.0002801842,1.0466005,4.539356359498056,0.4069050330418198
2.0,1540,0.6660147983833061,0.0,-0.09752452039780712,0.14473455,0.22688243,0.99999994,0.8671022,0.89244384,0.012207031,0.06684452,5.4759035,0.68059707,15.432492,206.54933,0.06591326,0.40702915,7.362281,109.48,56.52584,0.8565755,12.156488,0.00031319188,0.6258618,3.738697198138716,-0.4924383740572837
2.0,1721,0.7492104654180972,0.0,-0.014328853363016036,0.22400618,0.33634472,1.0000001,1.0027289,0.7749897,0.008300781,0.053837933,6.4858875,0.6658873,14.237941,241.0336,0.048038643,0.35452121,7.019682,107.17647,71.28134,0.98166436,12.160571,0.00026498892,0.4524927,6.143864503375196,1.0464259234760052
2.0,2795,0.5682028687927717,0.0,-0.19533644998834154,0.17305528,0.26347455,1.0,0.97255653,0.8274913,0.0034179688,0.022352573,6.539724,0.41701713,12.659129,539.00745,0.02282177,0.24359556,6.090557,76.57143,57.00346,1.4314474,12.149691,0.0005263034,0.5767028,2.7703375591198065,-0.9495671824632052
2.0,3361,0.6664625136278725,0.0,-0.0970768051532408,0.16748135,0.62897265,1.0,0.8305121,0.90013194,0.0068359375,0.026593607,3.8902647,0.32360348,4.9767265,152.64531,0.04089351,0.3449306,6.820259,92.07143,64.21791,0.6982365,12.168707,0.00023723453,0.473365,3.264896718881781,-0.4757319418206489
2.0,3796,0.8323014220950427,0.0,0.0687621033139294,0.16175736,0.20599735,1.0,0.8927085,0.8275912,0.014160156,0.07050894,4.97939,0.6325454,11.580106,130.48972,0.074343786,0.43315023,7.229888,88.06896,54.41941,0.8882103,12.159267,0.0002731483,0.5503604,4.969203614273432,0.293843354527437
2.0,3887,0.6657778133182243,0.0,-0.09776150546288898,0.13127963,0.18853855,1.0,0.89573544,0.8806647,0.0048828125,0.020218758,4.1408014,0.29485074,5.7628593,235.91362,0.030857366,0.29925653,6.718522,104.7,57.93914,0.72451854,12.162458,0.00026033225,0.53885996,2.9202547774911247,-0.9354071331273416
2.0,4082,0.6676723188381098,0.0,-0.0958669999430034,0.20089407,0.326488,1.0000001,0.92302895,0.8196629,0.0087890625,0.0465133,5.29218,0.53323287,10.38154,192.57877,0.05035992,0.3692787,6.859332,82.833336,61.753387,0.9932985,12.154535,0.00033274142,0.68825835,5.0648003853335,0.5759208665638422
2.0,4152,0.832185458188178,0.0,0.06864613940706477,0.1361579,0.17810982,1.0,0.92999357,0.82685244,0.0029296875,0.013182925,4.4997716,0.26291162,8.482052,630.81396,0.020013848,0.22557698,6.0741987,83.333336,63.790344,0.942409,12.158383,0.00030767656,0.6849371,3.1774538580688705,-0.8146174582544538
2.0,4267,0.7481684977101395,0.0,-0.015370821070973761,0.22980976,0.31053364,1.0,1.1242307,0.7752855,0.0029296875,0.019801365,6.758866,0.45939493,17.615416,1104.8859,0.020013848,0.20363267,6.2687554,103.166664,90.87547,1.3850455,12.159679,0.00035456487,0.91047716,4.664294003256436,-0.4732885742156048
2.0,4313,0.7488038784261638,0.0,-0.014735440354949447,0.23371787,0.45799577,1.0,1.1265563,0.9109434,0.0068359375,0.035274994,5.160228,0.45115128,8.521376,214.03651,0.04089351,0.33832312,7.0084906,113.21429,87.167816,1.0812492,12.160185,0.00025638315,0.5575772,3.806731067508953,-1.565950279777116
