setting,target,control,predictor,rho,p,ci_lo,ci_hi,n,k_controls,controls,n_boot,n_boot_valid,p_holm,q_bh
gemma_2_2b,collateral_ctilde,primary,coact_entropy,-0.3085574023474382,5.693170031257338e-08,-0.40028022946571146,-0.19977099687893432,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,9.678389053137474e-07,5.123853028131604e-07
gemma_2_2b,collateral_ctilde,primary,coact_count,-0.14908059480821276,0.010088908031037952,-0.2638284692536815,-0.03103213639002004,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,0.1311558044034934,0.03026672409311386
gemma_2_2b,collateral_ctilde,primary,logit_l2,-0.0022613069527646105,0.9690447650125958,-0.11792917743040472,0.11047983677731583,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,1.0,1.0
gemma_2_2b,collateral_ctilde,primary,logit_linf,-0.1342110727194785,0.02068554225906337,-0.24061189486674753,-0.027556255370687215,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,0.24822650710876043,0.05319139438044867
gemma_2_2b,collateral_ctilde,primary,logit_entropy,0.11395985823123946,0.049755131282122216,-0.0036660339615522744,0.22560169414298678,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,0.5473064441033444,0.11194904538477499
gemma_2_2b,collateral_ctilde,primary,logit_top10_mass,-0.17682648800156708,0.002223294751896249,-0.28046957769192404,-0.06966763137674008,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,0.03334942127844374,0.01000482638353312
gemma_2_2b,collateral_ctilde,robust,crowding,0.04861238867201684,0.40307190505681784,-0.07875615008031817,0.17495094731754313,300,2,"frequency,ctx_mean_act",10000,10000,1.0,0.5724129340644021
gemma_2_2b,collateral_ctilde,robust,crowd_max,0.04148649734953238,0.4755578542660887,-0.07839311996086121,0.1641194672998177,300,2,"frequency,ctx_mean_act",10000,10000,1.0,0.5724129340644021
gemma_2_2b,collateral_ctilde,robust,dec_norm,0.08751598342239476,0.1317327073537053,-0.03899700269650782,0.21268877434775618,300,2,"frequency,ctx_mean_act",10000,10000,1.0,0.2963985915458369
gemma_2_2b,collateral_ctilde,robust,enc_norm,-0.0808582807543875,0.16384832424168796,-0.20133826280898853,0.038264617178834705,300,2,"frequency,ctx_mean_act",10000,10000,1.0,0.32769664848337593
gemma_2_2b,collateral_ctilde,robust,enc_dec_cos,-0.23917908802751553,3.016291700144625e-05,-0.3567717356757113,-0.11414278137254721,300,2,"frequency,ctx_mean_act",10000,10000,0.0005363984593969689,0.00027146625301301624
gemma_2_2b,collateral_ctilde,robust,bin_entropy,,,,,300,2,"frequency,ctx_mean_act",10000,0,,
gemma_2_2b,collateral_ctilde,robust,act_entropy,0.01646010786275961,0.7771994527076133,-0.08294103712115614,0.11970888291677595,300,2,"frequency,ctx_mean_act",10000,10000,1.0,0.822917067572767
gemma_2_2b,collateral_ctilde,robust,act_kurtosis,-0.04135015329035285,0.4770107783870017,-0.15012830573250713,0.05961055271079755,300,2,"frequency,ctx_mean_act",10000,10000,1.0,0.5724129340644021
gemma_2_2b,collateral_ctilde,robust,act_mag,-0.0217864843615358,0.7079900541224459,-0.14245442544832707,0.09941912813016718,300,2,"frequency,ctx_mean_act",10000,10000,1.0,0.7964888108877516
gemma_2_2b,collateral_ctilde,robust,act_mean_firing,0.06533585927335017,0.2608716337270005,-0.05627315287228222,0.1750822715535111,300,2,"frequency,ctx_mean_act",10000,10000,1.0,0.4370478778418711
gemma_2_2b,collateral_ctilde,robust,act_std,-0.04623976357563333,0.4264431760749912,-0.15720563349140587,0.07322546000750244,300,2,"frequency,ctx_mean_act",10000,10000,1.0,0.5724129340644021
gemma_2_2b,collateral_ctilde,robust,act_max,-0.06449314046695546,0.267084814236699,-0.17893592084566112,0.047734259340351165,300,2,"frequency,ctx_mean_act",10000,10000,1.0,0.4370478778418711
gemma_2_2b,collateral_ctilde,robust,coact_entropy,-0.23933253064655854,2.9799914410942717e-05,-0.33188144585067036,-0.12974417967336427,300,2,"frequency,ctx_mean_act",10000,10000,0.0005363984593969689,0.00027146625301301624
gemma_2_2b,collateral_ctilde,robust,coact_count,-0.12933425800525722,0.025571547274117527,-0.24822419158198492,-0.00948856270144998,300,2,"frequency,ctx_mean_act",10000,10000,0.33243011456352783,0.07671464182235259
gemma_2_2b,collateral_ctilde,robust,logit_l2,-0.10169832633842872,0.07964423657817433,-0.22034580765057946,0.022473401917000858,300,2,"frequency,ctx_mean_act",10000,10000,0.9557308389380921,0.204799465486734
gemma_2_2b,collateral_ctilde,robust,logit_linf,-0.20579268089920472,0.0003489551552968648,-0.31285957966451317,-0.09093513530140356,300,2,"frequency,ctx_mean_act",10000,10000,0.005583282484749837,0.002093730931781189
gemma_2_2b,collateral_ctilde,robust,logit_entropy,0.14261294891292745,0.013734152242309082,0.024239905541184062,0.25787762179749935,300,2,"frequency,ctx_mean_act",10000,10000,0.19227813139232713,0.0494429480723127
gemma_2_2b,collateral_ctilde,robust,logit_top10_mass,-0.18163000836675522,0.0016412699739358069,-0.28605361214243136,-0.07404789689597306,300,2,"frequency,ctx_mean_act",10000,10000,0.024619049609037102,0.0073857148827111314
gemma_2_2b,collateral_ctilde,effect_only,crowding,0.26613902783666454,3.0542104106242944e-06,0.14696562612142372,0.37821129508651474,300,1,effect_l2,10000,10000,3.359631451686724e-05,6.447777533540177e-06
gemma_2_2b,collateral_ctilde,effect_only,crowd_max,0.23512357758544256,4.019614650645704e-05,0.11886440454819326,0.3444963145047753,300,1,effect_l2,10000,10000,0.00040196146506457035,7.637267836226837e-05
gemma_2_2b,collateral_ctilde,effect_only,dec_norm,0.03652264329358355,0.529283474682394,-0.08900047429810413,0.15770509624667758,300,1,effect_l2,10000,10000,1.0,0.5915521187626757
